Instancia,Tempo consumido,Qtd iteracoes,Media solucoes,Melhor solucao,Frequencia melhor sol,Iteracao melhor sol
c-fat500-5,600.00,26438,26438,5.000113,5,26437,2
c-fat500-2,600.01,12107,12107,10.999917,8,1,2
c-fat200-5,600.00,144676,144676,3.000007,3,144675,2
reed98,600.01,62993,62993,4.594034,4,25573,2
netscience,600.01,46536,46536,10.055076,6,1,939
mahindas,600.00,67868,67868,5.197442,5,54468,2
ba_1k_2k,600.00,111061,111061,5.498420,5,55706,2
c-fat200-2,600.00,108741,108741,5.000009,5,108740,2
chameleon,600.02,20817,20817,8.236297,7,552,9
facebook_tvshow,600.01,19223,19223,11.028820,10,180,93
c-fat200-1,600.00,81731,81731,9.999988,9,1,3
c-fat500-10,600.02,27532,27532,4.000000,4,27532,1
polblogs,600.00,134046,134046,6.556466,6,59454,3
c-fat500-1,600.05,8557,8557,17.000234,17,8556,2
facebook_ego,600.09,224,224,7.638393,5,1,4
facebook_government,600.01,8295,8295,6.966727,6,276,3
facebook_politician,600.04,11407,11407,8.236872,8,8706,3
squirrel,600.07,4545,4545,6.561056,6,1995,3
crocodile,600.07,4358,4358,7.164525,6,130,3
Cite-DBLP,600.15,2226,2226,41.004492,41,2216,1
deezer_hr,600.36,1034,1034,8.000000,7,1,4
