Instancia,Tempo consumido,Qtd iteracoes,Qtd solucoes viaveis,Media solucoes,Melhor solucao,Frequencia melhor sol,Iteracao melhor sol,Alpha melhor sol
Cite-DBLP,600.16,2856,2856,41.031863,41,2775,1,0.1
ba_1k_2k,600.00,135106,135106,5.504071,5,67003,2,0.1
c-fat200-1,600.00,112416,112416,10.010123,9,1,3,0.1
c-fat200-2,600.00,155310,155310,5.134576,5,134576,43,0.5
c-fat200-5,600.00,180482,180482,3.042719,3,172772,2,0.1
c-fat500-1,600.04,12903,12903,17.065876,17,12101,3,0.1
c-fat500-10,600.01,29717,29717,3.381600,3,18378,2,0.1
c-fat500-2,600.02,21412,21412,10.032552,10,20723,3,0.1
c-fat500-5,600.01,33749,33749,5.010608,5,33394,2,0.1
chameleon,600.02,26804,26804,8.182958,7,955,19,0.2
crocodile,600.02,5603,5603,7.166875,6,217,11,0.2
deezer_hr,600.27,1341,1341,8.000000,7,1,4,0.1
facebook_ego,602.32,299,299,7.622074,5,1,4,0.1
facebook_government,600.05,10654,10654,6.963582,6,388,3,0.1
facebook_politician,600.03,15917,15917,8.210718,8,12580,3,0.1
facebook_tvshow,600.02,24364,24364,11.010302,10,301,75,0.8
mahindas,600.00,84774,84774,5.259561,5,62770,2,0.1
netscience,600.00,62784,62784,10.010783,6,1,11731,0.9
polblogs,600.00,182684,182684,6.572333,6,78128,3,0.1
reed98,600.00,80013,80013,4.630673,4,29551,2,0.1
squirrel,600.06,6927,6927,6.566768,6,3001,3,0.1
